parameter,outcome,pearson,spearman
qForward,score,-0.017790,-0.219921
qForward,theoremPassRate,-0.043307,-0.395148
qForward,assumptionsPassRate,-0.043307,-0.395148
qForward,coverageAvg,-0.034647,-0.076402
qForward,duplicateDrop,0.049035,-0.001666
qForward,eligibleTailRatio,-0.197275,-0.159760
qForward,parentChangeAvg,0.025022,0.117665
qForward,flappingAvg,-0.001631,-0.002282
deliveryProbability,score,-0.079041,-0.003658
deliveryProbability,theoremPassRate,-0.088536,0.135767
deliveryProbability,assumptionsPassRate,-0.088536,0.135767
deliveryProbability,coverageAvg,-0.064200,-0.063044
deliveryProbability,duplicateDrop,0.068204,0.092455
deliveryProbability,eligibleTailRatio,0.067639,0.125419
deliveryProbability,parentChangeAvg,-0.006771,0.147030
deliveryProbability,flappingAvg,-0.002861,0.055298
rootSourceCharge,score,0.056643,-0.041182
rootSourceCharge,theoremPassRate,0.144738,0.175491
rootSourceCharge,assumptionsPassRate,0.144738,0.175491
rootSourceCharge,coverageAvg,0.044240,0.097669
rootSourceCharge,duplicateDrop,-0.148460,-0.196902
rootSourceCharge,eligibleTailRatio,0.006250,0.023496
rootSourceCharge,parentChangeAvg,-0.007035,-0.165880
rootSourceCharge,flappingAvg,-0.003483,-0.018260
penaltyLambda,score,-0.052838,-0.243893
penaltyLambda,theoremPassRate,0.009692,-0.215916
penaltyLambda,assumptionsPassRate,0.009692,-0.215916
penaltyLambda,coverageAvg,0.011229,0.007970
penaltyLambda,duplicateDrop,-0.191559,-0.203916
penaltyLambda,eligibleTailRatio,-0.050013,-0.131129
penaltyLambda,parentChangeAvg,-0.029078,0.103972
penaltyLambda,flappingAvg,-0.026861,-0.017065
switchHysteresis,score,-0.086230,-0.185024
switchHysteresis,theoremPassRate,-0.036409,-0.238930
switchHysteresis,assumptionsPassRate,-0.036409,-0.238930
switchHysteresis,coverageAvg,0.016698,-0.030185
switchHysteresis,duplicateDrop,0.006311,-0.146277
switchHysteresis,eligibleTailRatio,-0.113937,-0.145750
switchHysteresis,parentChangeAvg,-0.012928,0.015439
switchHysteresis,flappingAvg,-0.030023,-0.062090
switchHysteresisRatio,score,0.236684,0.377812
switchHysteresisRatio,theoremPassRate,0.070248,0.140562
switchHysteresisRatio,assumptionsPassRate,0.070248,0.140562
switchHysteresisRatio,coverageAvg,0.018339,0.030999
switchHysteresisRatio,duplicateDrop,0.186736,0.318312
switchHysteresisRatio,eligibleTailRatio,0.053697,0.056170
switchHysteresisRatio,parentChangeAvg,-0.047046,-0.237581
switchHysteresisRatio,flappingAvg,-0.038328,-0.144696
chargeDropPerHop,score,-0.051225,-0.030882
chargeDropPerHop,theoremPassRate,-0.147474,-0.007502
chargeDropPerHop,assumptionsPassRate,-0.147474,-0.007502
chargeDropPerHop,coverageAvg,-0.091993,-0.099329
chargeDropPerHop,duplicateDrop,-0.018203,0.053213
chargeDropPerHop,eligibleTailRatio,-0.036280,-0.095607
chargeDropPerHop,parentChangeAvg,0.024525,0.106966
chargeDropPerHop,flappingAvg,0.020161,0.045477
