runId,networkId,seed,verdict,score,theoremPassRate,assumptionsPassRate,coverageAvg,duplicateDrop,eligibleTailRatio,parentChangeAvg,flappingAvg
48x150@48,48x150,48,UNSTABLE,17.163175,0.076667,0.076667,0.271667,-0.093333,1.000000,1.736667,2.773333
64x170@49,64x170,49,UNSTABLE,20.244451,0.056667,0.056667,0.396510,14.893333,1.000000,5.540000,9.250000
96x400@44,96x400,44,UNSTABLE,21.923840,0.163333,0.163333,0.999306,3.186667,1.000000,14.576667,26.800000
96x400@47,96x400,47,UNSTABLE,22.417455,0.103333,0.103333,0.998403,20.906667,1.000000,17.933333,33.376667
96x400@48,96x400,48,UNSTABLE,22.430532,0.016667,0.016667,0.998681,45.680000,1.000000,15.023333,28.240000
96x220@49,96x220,49,UNSTABLE,23.646230,0.120000,0.120000,1.000000,7.360000,1.000000,9.566667,17.136667
96x340@48,96x340,48,UNSTABLE,25.460251,0.173333,0.173333,1.000000,13.426667,1.000000,11.690000,18.310000
96x400@50,96x400,50,UNSTABLE,25.538636,0.230000,0.230000,0.999931,7.573333,1.000000,13.593333,24.313333
80x260@49,80x260,49,UNSTABLE,26.228814,0.110000,0.110000,1.000000,7.786667,1.000000,6.320000,10.780000
96x400@49,96x400,49,UNSTABLE,26.613890,0.263333,0.263333,0.987604,6.200000,1.000000,12.156667,21.490000
120x390@48,120x390,48,UNSTABLE,26.711691,0.070000,0.070000,1.000000,114.853333,1.000000,22.526667,36.306667
18x120@50,18x120,50,UNSTABLE,26.914737,0.033333,0.033333,0.388519,0.000000,1.000000,0.046667,0.000000
80x260@48,80x260,48,UNSTABLE,27.456083,0.110000,0.110000,1.000000,8.773333,1.000000,5.040000,9.066667
96x220@49,96x220,49,UNSTABLE,27.578929,0.043333,0.043333,0.995660,14.093333,1.000000,3.473333,6.453333
64x170@49,64x170,49,UNSTABLE,28.014496,0.076667,0.076667,0.410677,0.360000,1.000000,1.463333,0.410000
96x400@42,96x400,42,UNSTABLE,28.969369,0.313333,0.313333,0.999826,7.826667,1.000000,10.146667,17.916667
96x220@49,96x220,49,UNSTABLE,30.296528,0.046667,0.046667,0.952431,36.440000,1.000000,4.173333,7.220000
120x250@49,120x250,49,UNSTABLE,30.308911,0.106667,0.106667,1.000000,78.440000,1.000000,8.653333,13.936667
18x120@46,18x120,46,UNSTABLE,30.484035,0.050000,0.050000,0.539074,0.000000,1.000000,0.130000,0.000000
18x160@51,18x160,51,UNSTABLE,30.930544,0.196667,0.196667,0.893519,-0.306667,0.500000,0.183333,0.000000
