left,right,pearson,absPearson
qForward,deliveryProbability,0.000000,0.000000
qForward,rootSourceCharge,0.000000,0.000000
qForward,penaltyLambda,0.000000,0.000000
qForward,switchHysteresis,0.000000,0.000000
qForward,switchHysteresisRatio,0.000000,0.000000
qForward,chargeDropPerHop,0.000000,0.000000
qForward,chargeSpreadFactor,0.000000,0.000000
qForward,decayIntervalSteps,0.000000,0.000000
qForward,decayPercent,0.000000,0.000000
qForward,linkMemory,0.000000,0.000000
qForward,linkLearningRate,0.000000,0.000000
qForward,linkBonusMax,0.000000,0.000000
deliveryProbability,rootSourceCharge,0.000000,0.000000
deliveryProbability,penaltyLambda,0.000000,0.000000
deliveryProbability,switchHysteresis,0.000000,0.000000
deliveryProbability,switchHysteresisRatio,0.000000,0.000000
deliveryProbability,chargeDropPerHop,0.000000,0.000000
deliveryProbability,chargeSpreadFactor,0.000000,0.000000
deliveryProbability,decayIntervalSteps,0.000000,0.000000
deliveryProbability,decayPercent,0.000000,0.000000
deliveryProbability,linkMemory,0.000000,0.000000
deliveryProbability,linkLearningRate,0.000000,0.000000
deliveryProbability,linkBonusMax,0.000000,0.000000
rootSourceCharge,penaltyLambda,0.000000,0.000000
rootSourceCharge,switchHysteresis,0.000000,0.000000
rootSourceCharge,switchHysteresisRatio,0.000000,0.000000
rootSourceCharge,chargeDropPerHop,0.000000,0.000000
rootSourceCharge,chargeSpreadFactor,0.000000,0.000000
rootSourceCharge,decayIntervalSteps,0.000000,0.000000
rootSourceCharge,decayPercent,0.000000,0.000000
rootSourceCharge,linkMemory,0.000000,0.000000
rootSourceCharge,linkLearningRate,0.000000,0.000000
rootSourceCharge,linkBonusMax,0.000000,0.000000
penaltyLambda,switchHysteresis,0.000000,0.000000
penaltyLambda,switchHysteresisRatio,0.000000,0.000000
penaltyLambda,chargeDropPerHop,0.000000,0.000000
penaltyLambda,chargeSpreadFactor,0.000000,0.000000
penaltyLambda,decayIntervalSteps,0.000000,0.000000
penaltyLambda,decayPercent,0.000000,0.000000
penaltyLambda,linkMemory,0.000000,0.000000
penaltyLambda,linkLearningRate,0.000000,0.000000
penaltyLambda,linkBonusMax,0.000000,0.000000
switchHysteresis,switchHysteresisRatio,0.000000,0.000000
switchHysteresis,chargeDropPerHop,0.000000,0.000000
switchHysteresis,chargeSpreadFactor,0.000000,0.000000
switchHysteresis,decayIntervalSteps,0.000000,0.000000
switchHysteresis,decayPercent,0.000000,0.000000
switchHysteresis,linkMemory,0.000000,0.000000
switchHysteresis,linkLearningRate,0.000000,0.000000
switchHysteresis,linkBonusMax,0.000000,0.000000
switchHysteresisRatio,chargeDropPerHop,0.000000,0.000000
switchHysteresisRatio,chargeSpreadFactor,0.000000,0.000000
switchHysteresisRatio,decayIntervalSteps,0.000000,0.000000
switchHysteresisRatio,decayPercent,0.000000,0.000000
switchHysteresisRatio,linkMemory,0.000000,0.000000
switchHysteresisRatio,linkLearningRate,0.000000,0.000000
switchHysteresisRatio,linkBonusMax,0.000000,0.000000
chargeDropPerHop,chargeSpreadFactor,0.000000,0.000000
chargeDropPerHop,decayIntervalSteps,0.000000,0.000000
chargeDropPerHop,decayPercent,0.000000,0.000000
chargeDropPerHop,linkMemory,0.000000,0.000000
chargeDropPerHop,linkLearningRate,0.000000,0.000000
chargeDropPerHop,linkBonusMax,0.000000,0.000000
chargeSpreadFactor,decayIntervalSteps,0.000000,0.000000
chargeSpreadFactor,decayPercent,0.000000,0.000000
chargeSpreadFactor,linkMemory,0.000000,0.000000
chargeSpreadFactor,linkLearningRate,0.000000,0.000000
chargeSpreadFactor,linkBonusMax,0.000000,0.000000
decayIntervalSteps,decayPercent,0.000000,0.000000
decayIntervalSteps,linkMemory,0.000000,0.000000
decayIntervalSteps,linkLearningRate,0.000000,0.000000
decayIntervalSteps,linkBonusMax,0.000000,0.000000
decayPercent,linkMemory,0.000000,0.000000
decayPercent,linkLearningRate,0.000000,0.000000
decayPercent,linkBonusMax,0.000000,0.000000
linkMemory,linkLearningRate,0.000000,0.000000
linkMemory,linkBonusMax,0.000000,0.000000
linkLearningRate,linkBonusMax,0.000000,0.000000
